TYPE,MEOH,ACET,BU1,MEPR,ACAL,LNPRO1
KIRSCH (Brandy),3.0,15.0,0.2,9.0,9.0,5.86
KIRSCH (Brandy),23.0,13.0,0.8,9.0,2.0,6.67
KIRSCH (Brandy),65.0,96.0,0.4,9.0,4.0,5.31
KIRSCH (Brandy),279.0,66.0,0.9,36.0,4.8,5.45
KIRSCH (Brandy),292.0,210.0,1.1,34.0,8.0,4.08
KIRSCH (Brandy),371.0,414.0,1.2,39.0,9.0,6.22
KIRSCH (Brandy),393.0,287.0,1.8,41.0,9.7,6.47
KIRSCH (Brandy),394.0,217.0,1.0,31.0,8.6,6.31
KIRSCH (Brandy),418.0,62.0,0.8,24.0,7.0,5.83
KIRSCH (Brandy),426.0,204.0,1.3,37.0,8.6,6.07
KIRSCH (Brandy),465.0,267.0,1.5,39.0,17.0,8.01
KIRSCH (Brandy),469.0,226.0,1.6,35.0,8.0,6.21
KIRSCH (Brandy),475.0,172.0,1.9,33.0,14.0,6.30
KIRSCH (Brandy),498.0,343.0,2.3,42.0,21.0,6.59
KIRSCH (Brandy),507.0,397.0,3.3,30.0,21.0,5.98
KIRSCH (Brandy),523.0,367.0,2.6,45.0,25.0,6.67
KIRSCH (Brandy),583.0,226.0,2.3,46.0,11.0,6.49
KIRSCH (Brandy),632.5,342.3,2.2,38.2,13.3,7.64
MIRABELLE (Liqueur),595.0,410.0,16.0,24.0,11.4,5.09
MIRABELLE (Liqueur),630.0,243.0,13.0,13.0,13.0,5.87
MIRABELLE (Liqueur),707.0,131.0,15.0,28.0,9.0,4.89
MIRABELLE (Liqueur),748.0,346.0,13.0,28.0,25.0,4.43
MIRABELLE (Liqueur),771.0,339.0,21.0,50.0,13.0,4.69
MIRABELLE (Liqueur),798.0,123.0,15.0,30.0,9.6,4.36
MIRABELLE (Liqueur),842.0,299.0,20.0,27.0,11.0,3.95
MIRABELLE (Liqueur),847.0,381.0,16.0,44.0,20.0,5.26
MIRABELLE (Liqueur),883.0,205.0,17.0,32.0,13.0,5.34
MIRABELLE (Liqueur),885.0,41.0,18.0,34.0,4.7,4.85
MIRABELLE (Liqueur),887.0,423.0,9.3,36.0,15.0,5.86
MIRABELLE (Liqueur),903.0,312.0,24.0,24.0,7.0,4.26
MIRABELLE (Liqueur),917.0,86.0,26.0,21.0,14.0,4.57
MIRABELLE (Liqueur),961.0,58.0,16.0,59.0,8.3,4.19
MIRABELLE (Liqueur),965.0,176.0,18.0,43.0,13.0,4.63
MIRABELLE (Liqueur),1010.0,343.0,19.0,27.0,11.0,3.85
