round,seed.1,name.1,win_pct.1,srs.1,sos.1,win_pct_home.1,win_pct_away.1,win_pct_conf.1,pts_pg.1,opp_pts_pg.1,fg_pg.1,fg_pct.1,fg3_pg.1,fg3_pct.1,ft_pg.1,ft_pct.1,orb_pg.1,trb_pg.1,ast_pg.1,stl_pg.1,blk_pg.1,tov_pg.1,pf_pg.1,seed.2,name.2,win_pct.2,srs.2,sos.2,win_pct_home.2,win_pct_away.2,win_pct_conf.2,pts_pg.2,opp_pts_pg.2,fg_pg.2,fg_pct.2,fg3_pg.2,fg3_pct.2,ft_pg.2,ft_pct.2,orb_pg.2,trb_pg.2,ast_pg.2,stl_pg.2,blk_pg.2,tov_pg.2,pf_pg.2
1,1,Gonzaga,0.875,25.46,4.5,1,0.8333333333333334,0.9285714285714286,87.2,66.2,32.7,.521,8.2,.370,13.7,.713,9.7,41.9,18.1,6.4,5.8,11.6,15.5,16,Georgia State,0.621,-1.11,-1.34,0.6666666666666666,0.5454545454545454,0.6428571428571429,70.7,65.7,24.9,.400,7.6,.330,13.2,.720,13.3,37.4,13.5,8.8,4.5,11.7,16.1
1,8,Boise State,0.771,11.93,5.22,0.8125,0.75,0.8333333333333334,68.3,60.9,24.3,.445,7.3,.346,12.4,.650,10.2,34.8,11.4,6.0,3.4,12.1,15.0,9,Memphis,0.667,14.67,7.86,0.8666666666666667,0.45454545454545453,0.7222222222222222,75.2,68.3,26.9,.469,6.2,.355,15.1,.694,12.5,38.8,15.8,8.4,5.5,16.0,18.8
1,5,UConn,0.697,16.4,6.88,0.875,0.5,0.6842105263157895,74.8,65.3,26.7,.435,7.4,.352,14.1,.753,13.8,40.4,14.0,5.9,6.4,11.8,16.8,12,New Mexico State,0.794,7.11,1.24,0.8666666666666667,0.75,0.7647058823529411,72.5,64.6,25.6,.454,7.9,.330,13.5,.702,10.9,38.2,13.7,5.0,4.1,14.1,15.9
1,4,Arkansas,0.757,16.27,8.62,0.9444444444444444,0.5555555555555556,0.7222222222222222,75.9,68.3,26.3,.434,6.3,.304,17.1,.760,10.8,37.8,13.8,7.6,4.1,12.2,16.9,13,Vermont,0.824,7.81,-5.7,1,0.7142857142857143,0.9444444444444444,74.8,60.7,27.5,.492,8.8,.365,11.0,.742,7.3,35.0,15.1,5.1,2.5,9.6,14.0
1,6,Alabama,0.576,14.62,11.59,0.8125,0.3,0.5,79.5,76.5,27.6,.440,9.2,.309,15.0,.728,13.4,39.6,14.7,7.1,4.7,14.5,18.5,11,Notre Dame,0.686,11.87,7.01,0.9333333333333333,0.5833333333333334,0.75,72.6,67.1,26.1,.463,9.1,.381,11.3,.753,7.2,34.0,14.0,5.2,1.9,10.4,12.7
1,3,Texas Tech,0.73,20.08,8.65,1,0.3,0.6666666666666666,72.1,60.6,26.2,.472,6.1,.321,13.6,.698,10.6,36.4,13.7,8.0,3.5,13.5,16.2,14,Montana State,0.771,-0.26,-5.54,0.9285714285714286,0.6,0.8,76.5,69.3,26.4,.473,7.7,.368,16.1,.754,8.7,35.1,13.2,5.2,3.7,12.9,18.3
1,7,Michigan State,0.639,13.18,9.96,0.8,0.45454545454545453,0.55,72.3,69.0,26.1,.456,7.3,.378,12.8,.750,10.1,36.9,15.7,5.7,5.0,12.8,16.9,10,Davidson,0.794,10.43,1.92,0.9285714285714286,0.75,0.8333333333333334,75.5,66.0,26.7,.481,8.9,.387,13.2,.754,7.4,34.1,14.6,4.6,2.6,9.8,14.8
1,2,Duke,0.821,19.55,7.26,0.8333333333333334,0.8181818181818182,0.8,80.1,67.8,29.7,.491,7.9,.366,12.8,.738,10.5,37.9,16.5,6.4,5.6,10.3,13.6,15,Cal State Fullerton,0.656,-0.04,-2.28,0.8461538461538461,0.5,0.7058823529411765,70.0,66.5,24.8,.445,5.5,.329,15.0,.766,9.8,33.4,11.3,7.3,2.0,12.1,15.8
1,1,Baylor,0.794,21.73,8.76,0.8823529411764706,0.7272727272727273,0.7777777777777778,77.0,64.1,28.3,.462,8.1,.343,12.4,.697,12.9,37.2,15.9,8.8,3.4,12.4,16.1,16,Norfolk State,0.774,-3.91,-9.3,1,0.5384615384615384,0.8571428571428571,74.3,64.4,26.3,.461,7.0,.343,14.8,.699,10.3,38.5,12.5,6.7,3.6,14.0,17.6
1,8,UNC,0.744,15.5,8.89,0.8823529411764706,0.7272727272727273,0.75,77.9,71.3,27.6,.447,8.4,.358,14.3,.764,11.5,41.3,14.9,5.2,3.9,11.7,14.5,9,Marquette,0.594,11.36,8.96,0.8125,0.36363636363636365,0.5789473684210527,74.0,71.6,26.9,.450,8.6,.344,11.6,.741,7.8,34.8,16.0,7.8,5.2,12.4,17.4
