round,seed.1,name.1,link.1,seed.2,name.2,link.2,region
0,16,Howard,/cbb/schools/howard/men/2024.html,16,Wagner,/cbb/schools/wagner/men/2024.html,2
0,10,Colorado St.,/cbb/schools/colorado-state/men/2024.html,10,Virginia,/cbb/schools/virginia/men/2024.html,4
0,16,Grambling,/cbb/schools/grambling/men/2024.html,16,Montana St.,/cbb/schools/montana-state/men/2024.html,4
0,10,Colorado,/cbb/schools/colorado/men/2024.html,10,Boise St.,/cbb/schools/boise-state/men/2024.html,3
1,1,UConn,/cbb/schools/connecticut/men/2024.html,16,Stetson,/cbb/schools/stetson/men/2024.html,
1,8,FAU,/cbb/schools/florida-atlantic/men/2024.html,9,Northwestern,/cbb/schools/northwestern/men/2024.html,
1,5,San Diego St.,/cbb/schools/san-diego-state/men/2024.html,12,UAB,/cbb/schools/alabama-birmingham/men/2024.html,
1,4,Auburn,/cbb/schools/auburn/men/2024.html,13,Yale,/cbb/schools/yale/men/2024.html,
1,6,BYU,/cbb/schools/brigham-young/men/2024.html,11,Duquesne,/cbb/schools/duquesne/men/2024.html,
1,3,Illinois,/cbb/schools/illinois/men/2024.html,14,Morehead St.,/cbb/schools/morehead-state/men/2024.html,
1,7,Washington St.,/cbb/schools/washington-state/men/2024.html,10,Drake,/cbb/schools/drake/men/2024.html,
1,2,Iowa St.,/cbb/schools/iowa-state/men/2024.html,15,South Dakota St.,/cbb/schools/south-dakota-state/men/2024.html,
1,1,North Carolina,/cbb/schools/north-carolina/men/2024.html,16,,,
1,8,Mississippi St.,/cbb/schools/mississippi-state/men/2024.html,9,Michigan St.,/cbb/schools/michigan-state/men/2024.html,
1,5,Saint Mary's,/cbb/schools/saint-marys-ca/men/2024.html,12,Grand Canyon,/cbb/schools/grand-canyon/men/2024.html,
1,4,Alabama,/cbb/schools/alabama/men/2024.html,13,Col of Charleston,/cbb/schools/college-of-charleston/men/2024.html,
1,6,Clemson,/cbb/schools/clemson/men/2024.html,11,New Mexico,/cbb/schools/new-mexico/men/2024.html,
1,3,Baylor,/cbb/schools/baylor/men/2024.html,14,Colgate,/cbb/schools/colgate/men/2024.html,
1,7,Dayton,/cbb/schools/dayton/men/2024.html,10,Nevada,/cbb/schools/nevada/men/2024.html,
1,2,Arizona,/cbb/schools/arizona/men/2024.html,15,Long Beach St.,/cbb/schools/long-beach-state/men/2024.html,
1,1,Houston,/cbb/schools/houston/men/2024.html,16,Longwood,/cbb/schools/longwood/men/2024.html,
1,8,Nebraska,/cbb/schools/nebraska/men/2024.html,9,Texas A&M,/cbb/schools/texas-am/men/2024.html,
1,5,Wisconsin,/cbb/schools/wisconsin/men/2024.html,12,James Madison,/cbb/schools/james-madison/men/2024.html,
1,4,Duke,/cbb/schools/duke/men/2024.html,13,Vermont,/cbb/schools/vermont/men/2024.html,
1,6,Texas Tech,/cbb/schools/texas-tech/men/2024.html,11,NC State,/cbb/schools/north-carolina-state/men/2024.html,
1,3,Kentucky,/cbb/schools/kentucky/men/2024.html,14,Oakland,/cbb/schools/oakland/men/2024.html,
1,7,Florida,/cbb/schools/florida/men/2024.html,10,,,
1,2,Marquette,/cbb/schools/marquette/men/2024.html,15,W Kentucky,/cbb/schools/western-kentucky/men/2024.html,
1,1,Purdue,/cbb/schools/purdue/men/2024.html,16,,,
1,8,Utah St.,/cbb/schools/utah-state/men/2024.html,9,TCU,/cbb/schools/texas-christian/men/2024.html,
1,5,Gonzaga,/cbb/schools/gonzaga/men/2024.html,12,McNeese,/cbb/schools/mcneese-state/men/2024.html,
1,4,Kansas,/cbb/schools/kansas/men/2024.html,13,Samford,/cbb/schools/samford/men/2024.html,
1,6,South Carolina,/cbb/schools/south-carolina/men/2024.html,11,Oregon,/cbb/schools/oregon/men/2024.html,
1,3,Creighton,/cbb/schools/creighton/men/2024.html,14,Akron,/cbb/schools/akron/men/2024.html,
1,7,Texas,/cbb/schools/texas/men/2024.html,10,,,
1,2,Tennessee,/cbb/schools/tennessee/men/2024.html,15,Saint Peter's,/cbb/schools/saint-peters/men/2024.html,
