round,seed.1,name.1,link.1,seed.2,name.2,link.2,region,win_pct.1,srs.1,sos.1,win_pct_home.1,win_pct_away.1,win_pct_conf.1,pace.1,off_rtg.1,fta_per_fga_pct.1,fg3a_per_fga_pct.1,ts_pct.1,trb_pct.1,ast_pct.1,stl_pct.1,blk_pct.1,efg_pct.1,tov_pct.1,orb_pct.1,ft_rate.1,conf.1,fg_pg.1,fg_pct.1,fg2_pg.1,fg2_pct.1,fg3_pg.1,fg3_pct.1,ft_pg.1,ft_pct.1,orb_pg.1,drb_pg.1,trb_pg.1,ast_pg.1,stl_pg.1,blk_pg.1,tov_pg.1,pf_pg.1,pts_pg.1,fg_pg_opp.1,fg_pct_opp.1,fg2_pg_opp.1,fg2_pct_opp.1,fg3_pg_opp.1,fg3_pct_opp.1,ft_pg_opp.1,ft_pct_opp.1,orb_pg_opp.1,drb_pg_opp.1,trb_pg_opp.1,ast_pg_opp.1,stl_pg_opp.1,blk_pg_opp.1,tov_pg_opp.1,pf_pg_opp.1,pts_pg_opp.1,mp_bench_pct.1,pts_bench_pct.1,height_avg.1,height_max.1,exp_avg.1,rsci_pct.1,min_return.1,pts_return.1,win_pct.2,srs.2,sos.2,win_pct_home.2,win_pct_away.2,win_pct_conf.2,pace.2,off_rtg.2,fta_per_fga_pct.2,fg3a_per_fga_pct.2,ts_pct.2,trb_pct.2,ast_pct.2,stl_pct.2,blk_pct.2,efg_pct.2,tov_pct.2,orb_pct.2,ft_rate.2,conf.2,fg_pg.2,fg_pct.2,fg2_pg.2,fg2_pct.2,fg3_pg.2,fg3_pct.2,ft_pg.2,ft_pct.2,orb_pg.2,drb_pg.2,trb_pg.2,ast_pg.2,stl_pg.2,blk_pg.2,tov_pg.2,pf_pg.2,pts_pg.2,fg_pg_opp.2,fg_pct_opp.2,fg2_pg_opp.2,fg2_pct_opp.2,fg3_pg_opp.2,fg3_pct_opp.2,ft_pg_opp.2,ft_pct_opp.2,orb_pg_opp.2,drb_pg_opp.2,trb_pg_opp.2,ast_pg_opp.2,stl_pg_opp.2,blk_pg_opp.2,tov_pg_opp.2,pf_pg_opp.2,pts_pg_opp.2,mp_bench_pct.2,pts_bench_pct.2,height_avg.2,height_max.2,exp_avg.2,rsci_pct.2,min_return.2,pts_return.2
0,16,Howard,/cbb/schools/howard/men/2024.html,16,Wagner,/cbb/schools/wagner/men/2024.html,2,0.529,-8.41,-7.82,0.6923076923076923,0.4,0.6428571428571429,69.5,106.5,0.419,0.391,0.568,52.7,55.8,8.6,7.3,0.524,19.2,34.6,0.314,meac,24.9,.451,16.8,.501,8.1,.374,17.3,.749,11.3,24.6,35.9,13.9,6.1,2.9,15.7,19.1,75.1,26.0,.446,19.6,.500,6.4,.336,15.9,.698,10.9,21.4,32.3,12.2,7.7,3.5,12.4,19.0,74.4,0.3704723268617792,0.2896281800391389,77,81,2.8333333333333335,0,51.2,51.5,0.516,-10.86,-9.51,0.5833333333333334,0.47368421052631576,0.4375,62.9,99.8,0.262,0.384,0.487,51.1,56.2,9.4,7,0.454,13.3,30.7,0.186,northeast,22.8,.392,15.6,.436,7.2,.322,10.8,.710,11.5,24.9,36.5,12.8,6.0,2.2,10.0,15.4,63.5,22.5,.418,16.0,.504,6.5,.295,10.5,.674,8.9,26.0,34.9,13.5,4.8,3.3,11.3,14.1,62.1,0.27242313206945995,0.24467005076142131,76.33333333333333,81,2.6666666666666665,0,52.6,52.3
0,10,Colorado St.,/cbb/schools/colorado-state/men/2024.html,10,Virginia,/cbb/schools/virginia/men/2024.html,4,0.706,13.47,7.38,0.8823529411764706,0.36363636363636365,0.5555555555555556,66.9,113.3,0.324,0.387,0.586,50,66.9,9.7,8.6,0.554,13.4,24.8,0.244,mwc,27.6,.488,20.1,.582,7.4,.341,13.8,.754,7.8,25.1,32.9,18.4,6.5,3.2,10.1,17.1,76.4,24.4,.432,18.0,.484,6.4,.331,13.2,.746,9.4,23.6,32.9,11.7,5.4,2.9,11.7,17.0,68.4,0.32262773722627736,0.2492295839753467,76.5,80,3.8333333333333335,0,54.9,56.5,0.697,11,7,0.8823529411764706,0.45454545454545453,0.65,61.2,102.7,0.251,0.327,0.512,48.8,63.4,11.5,15.9,0.493,11.6,26,0.16,acc,24.1,.434,17.5,.468,6.6,.363,8.9,.637,8.8,24.0,32.8,15.2,7.1,5.1,8.2,13.5,63.6,21.4,.402,14.9,.466,6.5,.304,10.3,.750,9.4,25.1,34.5,11.2,5.1,3.2,12.0,13.0,59.6,0.3250449370880767,0.27121067683508104,78,80,3,0.3333333333333333,34.1,28.1
0,16,Grambling,/cbb/schools/grambling/men/2024.html,16,Montana St.,/cbb/schools/montana-state/men/2024.html,4,0.588,-10.15,-6.41,0.75,0.4375,0.7777777777777778,67.1,99.9,0.391,0.286,0.528,49.2,41.1,11,8.2,0.489,17.3,30.1,0.276,swac,23.7,.440,18.5,.481,5.2,.339,14.9,.706,9.6,22.5,32.2,9.8,7.4,3.1,13.4,16.0,67.6,24.5,.433,18.0,.480,6.5,.339,13.6,.735,10.7,22.4,33.2,13.4,7.1,2.9,12.9,16.5,69.0,0.3737256044276143,0.3328981723237598,76.5,79,3.3333333333333335,0.16666666666666666,46.7,41,0.5,-4.57,-3.89,0.5882352941176471,0.2857142857142857,0.5,69.9,106.3,0.297,0.426,0.573,46.6,48.8,11.7,6.4,0.545,15.1,20.9,0.218,big-sky,26.8,.466,17.8,.540,9.0,.367,12.5,.733,6.8,23.8,30.6,13.1,8.2,2.4,11.6,18.5,75.1,26.5,.465,19.9,.535,6.6,.334,14.5,.712,9.3,25.8,35.1,12.4,5.9,2.4,13.6,17.2,74.1,0.27305789933081176,0.3101018010963195,76.83333333333333,80,3.1666666666666665,0,32.8,21.7
0,10,Colorado,/cbb/schools/colorado/men/2024.html,10,Boise St.,/cbb/schools/boise-state/men/2024.html,3,0.706,16.02,7.9,0.9411764705882353,0.36363636363636365,0.65,69.1,113.6,0.353,0.304,0.591,55.5,56.1,8.5,5.5,0.553,15.9,32.2,0.274,pac-12,28.3,.493,21.4,.536,6.9,.394,15.8,.778,10.1,27.4,37.6,15.9,5.9,2.1,12.7,14.9,79.3,26.2,.436,19.5,.501,6.8,.318,11.9,.707,8.8,21.3,30.1,11.4,7.3,3.7,10.7,17.9,71.2,0.2682181818181818,0.21995548961424333,79,83,3.1666666666666665,0.3333333333333333,62.6,72.7,0.688,13.84,7.44,0.8125,0.7,0.7222222222222222,67.1,112.1,0.368,0.401,0.559,55.5,47.9,8.5,6.9,0.522,14.1,33.7,0.271,mwc,26.1,.452,18.1,.524,8.0,.345,15.6,.735,11.4,25.8,37.2,12.5,5.8,2.4,11.2,16.7,75.8,24.2,.438,17.8,.513,6.4,.311,12.7,.720,7.4,22.4,29.8,11.7,5.8,3.8,11.4,17.6,67.5,0.2689505503022787,0.18549051937345423,78.33333333333333,81,3.3333333333333335,0.16666666666666666,61,62.1
1,1,UConn,/cbb/schools/connecticut/men/2024.html,16,Stetson,/cbb/schools/stetson/men/2024.html,1,0.912,24.72,7.66,1,0.75,0.9,66.2,123,0.333,0.409,0.6,56.1,63.7,9.4,14.2,0.571,12.7,36.5,0.247,big-east,29.1,.496,20.3,.585,8.8,.367,14.5,.742,11.6,26.9,38.5,18.5,6.2,5.4,9.9,16.2,81.5,22.6,.398,16.6,.437,6.0,.319,13.3,.722,9.8,20.2,30.1,10.4,5.5,2.9,10.7,16.9,64.4,0.30995441846787236,0.28736462093862813,78.5,86,2.8333333333333335,0.5,42.6,36.6,0.647,-4.51,-3.86,0.875,0.375,0.6875,67.4,114.5,0.3,0.419,0.577,50.4,49.2,7.9,8,0.545,13.5,29.3,0.23,atlantic-sun,27.4,.467,18.3,.537,9.1,.370,13.5,.766,9.7,25.2,34.9,13.5,5.3,3.1,10.4,14.8,77.5,27.1,.439,19.2,.503,7.9,.334,10.8,.713,11.1,23.3,34.4,13.6,5.9,2.6,9.6,16.5,72.8,0.28117216117216115,0.2049335863377609,78.33333333333333,83,2.8333333333333335,0,56.3,61.3
1,8,FAU,/cbb/schools/florida-atlantic/men/2024.html,9,Northwestern,/cbb/schools/northwestern/men/2024.html,1,0.758,13.89,4.62,0.9285714285714286,0.5,0.7777777777777778,69.1,117.2,0.349,0.388,0.579,52.9,51,10.1,7.7,0.55,13.5,33.7,0.25,aac,29.4,.481,20.9,.560,8.5,.356,15.3,.718,11.7,26.3,38.1,15.0,7.1,3.0,11.1,16.0,82.5,26.8,.436,19.3,.491,7.5,.337,12.3,.727,10.8,23.1,33.9,10.2,5.8,2.5,11.6,18.1,73.3,0.3262453531598513,0.2856093979441997,76.33333333333333,85,3.3333333333333335,0,90.2,90,0.656,12.75,8.06,0.8823529411764706,0.36363636363636365,0.6,64.7,112.2,0.299,0.368,0.563,48.3,59.7,10.6,9.9,0.532,11.8,25.6,0.224,big-ten,26.3,.459,18.0,.497,8.3,.394,12.8,.748,8.4,22.8,31.2,15.7,6.9,3.3,8.8,17.8,73.7,23.6,.450,16.7,.504,6.9,.359,14.9,.720,8.9,24.4,33.3,14.0,4.8,3.7,12.3,16.8,69.0,0.25638265149184863,0.15097540288379982,77.5,84,3.5,0,57.4,61.7
1,5,San Diego St.,/cbb/schools/san-diego-state/men/2024.html,12,UAB,/cbb/schools/alabama-birmingham/men/2024.html,1,0.706,15.31,8.47,0.9333333333333333,0.42857142857142855,0.6111111111111112,67.2,109,0.369,0.378,0.54,53.2,50.7,10.7,12,0.499,13.8,33.3,0.27,mwc,25.9,.440,18.9,.518,6.9,.313,15.9,.733,11.7,26.4,38.1,13.1,7.3,4.0,11.1,17.5,74.6,23.1,.405,15.9,.474,7.2,.305,13.1,.708,9.9,23.5,33.4,11.4,5.9,3.2,12.4,18.8,66.6,0.3165342960288809,0.23935331230283913,76.66666666666667,81,3.5,0.16666666666666666,48,49.1,0.667,4.91,3.78,0.7058823529411765,0.5833333333333334,0.6666666666666666,68.7,111.3,0.4,0.314,0.546,52.4,50.1,9.4,12,0.501,14.1,35.7,0.299,aac,26.8,.450,20.8,.508,6.1,.323,17.8,.747,13.0,25.2,38.2,13.5,6.5,4.6,11.6,15.9,77.6,27.1,.446,19.3,.502,7.8,.349,13.4,.717,11.3,23.4,34.6,13.2,7.0,4.1,11.4,18.7,75.4,0.30134328358208956,0.27489262007028503,78,81,3,0,32.3,28.9
1,4,Auburn,/cbb/schools/auburn/men/2024.html,13,Yale,/cbb/schools/yale/men/2024.html,1,0.788,23,7.82,0.9375,0.5,0.7222222222222222,70.8,117.6,0.383,0.377,0.579,52.3,62.3,10.4,16,0.541,12.8,33.3,0.287,sec,28.8,.474,20.8,.548,8.1,.353,17.5,.750,11.5,26.4,37.8,18.0,7.4,6.1,10.5,19.2,83.2,22.3,.385,16.4,.427,5.9,.302,17.5,.737,11.5,22.9,34.5,9.6,6.5,3.2,12.9,19.1,68.1,0.4368843764206698,0.33891518019657807,77.16666666666667,82,3,0.5,58.1,60.2,0.7,5.05,-0.52,0.8181818181818182,0.6,0.7857142857142857,66.1,112.5,0.273,0.348,0.558,53.4,53.4,9,9.6,0.533,12.3,29.4,0.195,ivy,28.3,.472,21.1,.539,7.3,.348,11.7,.713,10.0,27.0,37.0,15.1,6.0,3.2,9.5,15.0,75.6,23.6,.415,15.7,.472,7.9,.334,11.6,.742,8.3,23.9,32.3,13.7,5.5,3.4,11.0,16.0,66.8,0.29885245901639346,0.22707231040564374,78.16666666666667,84,3,0,75.1,74.7
1,6,BYU,/cbb/schools/brigham-young/men/2024.html,11,Duquesne,/cbb/schools/duquesne/men/2024.html,1,0.697,20.36,8.42,0.8888888888888888,0.3,0.5555555555555556,70,116.9,0.253,0.507,0.575,54.2,63.2,8.5,7.7,0.551,13,32.8,0.186,big-12,29.4,.462,18.2,.580,11.2,.348,11.8,.738,11.9,27.7,39.6,18.6,5.9,3.0,10.7,17.7,81.8,25.2,.426,18.8,.482,6.4,.318,13.2,.698,9.1,24.5,33.5,11.9,6.0,2.2,11.2,15.2,69.9,0.351969696969697,0.3565346168085894,78.16666666666667,83,3.1666666666666665,0.16666666666666666,74.3,68.3,0.676,7.32,3.92,0.7647058823529411,0.45454545454545453,0.5555555555555556,67.2,106,0.327,0.393,0.541,50.5,53.6,11.1,12.8,0.507,15.2,30.2,0.235,atlantic-10,25.1,.441,17.5,.506,7.6,.340,13.4,.718,10.4,24.6,35.0,13.4,7.5,4.4,11.8,17.2,71.2,23.2,.420,16.6,.480,6.6,.320,13.5,.701,10.4,23.9,34.3,12.3,6.3,3.8,13.2,17.0,66.5,0.36545534794762397,0.2962809917355372,75.66666666666667,81,2.8333333333333335,0,59,58.8
1,3,Illinois,/cbb/schools/illinois/men/2024.html,14,Morehead St.,/cbb/schools/morehead-state/men/2024.html,1,0.758,19.79,9.03,0.8333333333333334,0.5454545454545454,0.7,70.6,118.3,0.374,0.384,0.573,55.7,44.3,6,8.1,0.537,12.8,36,0.277,big-ten,29.3,.470,20.9,.544,8.4,.350,17.2,.740,12.9,28.5,41.5,13.0,4.3,3.8,10.8,15.2,84.2,27.5,.431,21.5,.465,6.1,.342,12.2,.711,9.9,23.0,32.9,11.7,5.6,3.2,8.8,18.7,73.4,0.30957750714178317,0.257472092185812,78.5,82,3.6666666666666665,0.3333333333333333,59,58.9,0.765,0.7,-6.07,0.9333333333333333,0.5625,0.7777777777777778,66.3,113.9,0.299,0.451,0.574,56.4,55.8,8.8,12.2,0.551,15.4,35.5,0.211,ovc,27.0,.469,17.6,.559,9.4,.361,12.1,.705,11.6,27.8,39.4,15.1,5.9,4.7,12.0,15.9,75.5,22.3,.389,16.7,.434,5.6,.296,12.7,.751,9.4,21.1,30.5,9.0,5.9,2.4,10.5,15.8,62.8,0.2480517570945449,0.15510522213561964,78,82,3.3333333333333335,0,47.9,49
