"round","seed.1","name.1","link.1","score.1","games.1","win_pct.1","srs.1","sos.1","win_pct_home.1","win_pct_away.1","win_pct_conf.1","pts_pg.1","opp_pts_pg.1","fg_pg.1","fg_pct.1","fg3_pg.1","fg3_pct.1","ft_pg.1","ft_pct.1","orb_pg.1","trb_pg.1","ast_pg.1","stl_pg.1","blk_pg.1","tov_pg.1","pf_pg.1","seed.2","name.2","link.2","score.2","games.2","win_pct.2","srs.2","sos.2","win_pct_home.2","win_pct_away.2","win_pct_conf.2","pts_pg.2","opp_pts_pg.2","fg_pg.2","fg_pct.2","fg3_pg.2","fg3_pct.2","ft_pg.2","ft_pct.2","orb_pg.2","trb_pg.2","ast_pg.2","stl_pg.2","blk_pg.2","tov_pg.2","pf_pg.2","year","winner","point_diff"
1,1,"Duke","/cbb/schools/duke/men/2001.html",95,39,0.897,32.18,11.98,0.866666666666667,0.9,0.8125,90.7179487179487,70.5128205128205,31.2051282051282,0.481,10.4358974358974,0.385,17.8717948717949,0.696,13.7948717948718,38.5897435897436,17.974358974359,10.5384615384615,5.02564102564103,13.6153846153846,16.8974358974359,16,"Monmouth","/cbb/schools/monmouth/men/2001.html",52,31,0.677,-3.82,-8.86,0.833333333333333,0.533333333333333,0.75,70.3225806451613,65.2903225806452,24.3870967741935,0.454,6.48387096774194,0.353,15.0645161290323,0.689,9.67741935483871,34.0322580645161,14.1612903225806,9.03225806451613,3.38709677419355,15.1935483870968,16.6774193548387,2001,"team1",43
1,8,"Georgia","/cbb/schools/georgia/men/2001.html",68,31,0.516,12.72,12.75,0.692307692307692,0.416666666666667,0.5625,72.8064516129032,72.8387096774194,27.258064516129,0.464,4.58064516129032,0.345,13.7096774193548,0.672,12.8064516129032,38.4838709677419,15.1935483870968,6.29032258064516,4.80645161290323,15.6451612903226,18.3548387096774,9,"Missouri","/cbb/schools/missouri/men/2001.html",70,33,0.606,10.76,9.2,0.928571428571429,0.272727272727273,0.5625,75.5454545454545,72.7878787878788,25.6666666666667,0.42,8.45454545454546,0.38,15.7575757575758,0.701,14.1212121212121,38.1515151515151,12.6666666666667,7.81818181818182,4,15.0606060606061,20.5757575757576,2001,"team2",-2
1,5,"Ohio State","/cbb/schools/ohio-state/men/2001.html",68,31,0.645,15.68,8.16,0.823529411764706,0.555555555555556,0.6875,71.1612903225806,63.6451612903226,25,0.471,5.45161290322581,0.381,15.7096774193548,0.699,11.4516129032258,35.1612903225806,15.258064516129,5.19354838709677,5.16129032258065,15.1935483870968,19.5806451612903,12,"Utah State","/cbb/schools/utah-state/men/2001.html",77,34,0.824,9.99,-1.48,1,0.636363636363636,0.8125,70.7058823529412,57.6176470588235,25.0588235294118,0.485,5.88235294117647,0.39,14.7058823529412,0.673,10.8823529411765,34.6176470588235,15.0294117647059,6.47058823529412,3.88235294117647,14.2941176470588,17.0882352941176,2001,"team2",-9
1,4,"UCLA","/cbb/schools/ucla/men/2001.html",61,32,0.719,17.13,12.07,0.75,0.727272727272727,0.777777777777778,79.5,74.4375,28.1875,0.463,5.9375,0.355,17.1875,0.663,13.78125,38.09375,14.5,7.78125,3.96875,16.09375,20.9375,13,"Hofstra","/cbb/schools/hofstra/men/2001.html",48,31,0.839,5.12,-5.47,0.923076923076923,0.846153846153846,0.888888888888889,72.8064516129032,62.2258064516129,25.2903225806452,0.473,5.38709677419355,0.332,16.8387096774194,0.647,12.0322580645161,37.6129032258064,13.3548387096774,7.64516129032258,3.83870967741935,16.4838709677419,17.6451612903226,2001,"team1",13
1,6,"USC","/cbb/schools/southern-california/men/2001.html",69,34,0.706,16.54,10.84,0.8125,0.583333333333333,0.611111111111111,77.0588235294118,71.1764705882353,26.4117647058824,0.459,6.11764705882353,0.348,18.1176470588235,0.706,12.4117647058824,36.7647058823529,15.1176470588235,7.61764705882353,4.44117647058824,15.0588235294118,18.1470588235294,11,"Oklahoma State","/cbb/schools/oklahoma-state/men/2001.html",54,30,0.667,10.83,4.73,0.9375,0.363636363636364,0.625,70.9666666666667,64.5333333333333,25.5666666666667,0.464,4.3,0.327,15.5333333333333,0.633,12.1333333333333,37.9666666666667,13.5333333333333,8.03333333333333,3.83333333333333,16.8666666666667,18.9333333333333,2001,"team1",15
1,3,"Boston College","/cbb/schools/boston-college/men/2001.html",68,32,0.844,17.99,5.19,1,0.6,0.8125,79.59375,66.53125,27.46875,0.454,7.1875,0.353,17.46875,0.709,15.1875,36.4375,14.5,10.1875,3.03125,13.21875,20.375,14,"Southern Utah","/cbb/schools/southern-utah/men/2001.html",65,31,0.806,3.01,-3.42,1,0.642857142857143,0.8125,72.3548387096774,65,25.258064516129,0.489,6.35483870967742,0.4,15.4838709677419,0.713,10.8064516129032,32.1612903225806,14.9032258064516,10.3548387096774,2.80645161290323,15.1612903225806,19.7741935483871,2001,"team1",3
1,7,"Iowa","/cbb/schools/iowa/men/2001.html",69,35,0.657,14.25,10.71,0.75,0.454545454545455,0.4375,74.0857142857143,70.5428571428571,23.2857142857143,0.43,6,0.366,21.5142857142857,0.705,13.7714285714286,38.6,13.5428571428571,5.45714285714286,2.37142857142857,14.8571428571429,22.3714285714286,10,"Creighton","/cbb/schools/creighton/men/2001.html",56,32,0.75,12.41,3.01,1,0.583333333333333,0.777777777777778,72.65625,63.25,24.625,0.442,7.78125,0.359,15.625,0.702,11.15625,33.875,15.3125,9.15625,3.5625,13.3125,20.1875,2001,"team1",13
1,2,"Kentucky","/cbb/schools/kentucky/men/2001.html",72,34,0.706,20.32,11.12,0.916666666666667,0.5,0.75,79.7941176470588,70.5882352941177,29.0588235294118,0.482,7.20588235294118,0.346,14.4705882352941,0.655,13.6470588235294,38.5588235294118,15.8529411764706,6.73529411764706,4.44117647058824,15.0882352941176,18.5588235294118,15,"Holy Cross","/cbb/schools/holy-cross/men/2001.html",68,30,0.733,-0.31,-5.84,0.928571428571429,0.6,0.833333333333333,67.8,62.2666666666667,21.3333333333333,0.445,4.53333333333333,0.351,20.6,0.657,12.9333333333333,38.5,12.8333333333333,6.26666666666667,5.23333333333333,17.0666666666667,19.4333333333333,2001,"team1",4
2,1,"Duke","/cbb/schools/duke/men/2001.html",94,39,0.897,32.18,11.98,0.866666666666667,0.9,0.8125,90.7179487179487,70.5128205128205,31.2051282051282,0.481,10.4358974358974,0.385,17.8717948717949,0.696,13.7948717948718,38.5897435897436,17.974358974359,10.5384615384615,5.02564102564103,13.6153846153846,16.8974358974359,9,"Missouri","/cbb/schools/missouri/men/2001.html",81,33,0.606,10.76,9.2,0.928571428571429,0.272727272727273,0.5625,75.5454545454545,72.7878787878788,25.6666666666667,0.42,8.45454545454546,0.38,15.7575757575758,0.701,14.1212121212121,38.1515151515151,12.6666666666667,7.81818181818182,4,15.0606060606061,20.5757575757576,2001,"team1",13
2,12,"Utah State","/cbb/schools/utah-state/men/2001.html",50,34,0.824,9.99,-1.48,1,0.636363636363636,0.8125,70.7058823529412,57.6176470588235,25.0588235294118,0.485,5.88235294117647,0.39,14.7058823529412,0.673,10.8823529411765,34.6176470588235,15.0294117647059,6.47058823529412,3.88235294117647,14.2941176470588,17.0882352941176,4,"UCLA","/cbb/schools/ucla/men/2001.html",75,32,0.719,17.13,12.07,0.75,0.727272727272727,0.777777777777778,79.5,74.4375,28.1875,0.463,5.9375,0.355,17.1875,0.663,13.78125,38.09375,14.5,7.78125,3.96875,16.09375,20.9375,2001,"team2",-25
