pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FF,9/27/2019,95.5,-3.0509,5.4317,Jose Berrios,650619,621244,strikeout,swinging_strike,,,,,6,Meibrys Viloria strikes out swinging.  ,R,L,R,KC,MIN,S,2,null,3,2,2019,-1.0255,0.9147,0.5691,2.1718,null,null,670032,2,6,Bot,null,null,,,553902,,190928_021646,11.8133,-138.6407,-5.0154,-15.7314,28.6958,-19.4855,3.24,1.51,null,null,null,95.635,2124,6.331,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.1688,null,null,0,1,0,0,null,56,6,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard
FF,9/27/2019,91.7,-3.2865,5.2923,Jose Berrios,650619,621244,null,foul,,,,,1,null,R,L,R,KC,MIN,S,null,null,3,1,2019,-0.8664,1.1784,-0.4773,2.8092,null,null,670032,2,6,Bot,null,null,,,553902,,190928_021619,9.056,-133.3495,-3.052,-12.301,26.1485,-17.4405,3.24,1.51,144,76.1,15.2,92.636,2092,6.686,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,53.8136,null,null,null,null,null,null,null,56,5,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard
CH,9/27/2019,80.7,-3.2739,5.1954,Jose Berrios,650619,621244,null,ball,,,,,11,null,R,L,R,KC,MIN,B,null,null,2,1,2019,-1.4122,0.2237,-1.3049,2.1111,null,null,670032,2,6,Bot,null,null,,,553902,,190928_021601,6.9773,-117.3223,-0.6428,-14.1731,21.0643,-30.2342,2.9897,1.1983,null,null,null,80.339,1820,5.978,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.5211,null,null,null,null,null,null,null,56,4,Changeup,2,6,2,6,6,2,2,6,Standard,Standard
FF,9/27/2019,94.6,-3.1714,5.4859,Jose Berrios,650619,621244,null,ball,,,,,11,null,R,L,R,KC,MIN,B,null,null,1,1,2019,-0.9339,1.1674,-1.1563,3.3465,null,null,670032,2,6,Bot,null,null,,,553902,,190928_021544,7.3868,-137.7765,-2.5811,-13.5451,28.14,-16.7899,3.2145,1.3918,null,null,null,95.405,2175,6.527,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,53.9723,null,null,null,null,null,null,null,56,3,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard
CH,9/27/2019,82.1,-3.2562,5.2141,Jose Berrios,650619,621244,null,swinging_strike,,,,,4,null,R,L,R,KC,MIN,S,null,null,1,0,2019,-1.2345,0.2376,-0.6798,2.3754,null,null,670032,2,6,Bot,null,null,,,553902,,190928_021526,8.113,-119.39,-0.3976,-13.109,20.3244,-30.0581,3.24,1.51,null,null,null,81.884,1733,5.922,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.5776,null,null,null,null,null,null,null,56,2,Changeup,2,6,2,6,6,2,2,6,Standard,Standard
CU,9/27/2019,82.7,-3.2456,5.3875,Jose Berrios,650619,621244,null,ball,,,,,9,null,R,L,R,KC,MIN,B,null,null,0,0,2019,1.4134,-0.4771,0.5851,1.5178,null,null,670032,2,6,Bot,null,null,,,553902,,190928_021512,5.975,-120.2706,-1.4134,12.2455,22.9693,-36.6709,3.2367,1.4885,null,null,null,81.709,2400,5.618,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.8814,null,null,null,null,null,null,null,56,1,Curveball,2,6,2,6,6,2,2,6,Standard,Standard
FF,9/27/2019,94.3,-3.1661,5.4239,Jose Berrios,670032,621244,force_out,hit_into_play,,,,,9,"Nicky Lopez grounds into a force out, second baseman Jonathan Schoop to shortstop Ronald Torreyes.   Ryan O'Hearn out at 2nd.    Nicky Lopez to 1st.  ",R,L,R,KC,MIN,X,4,ground_ball,0,0,2019,-1.0294,0.9481,0.4829,1.7846,null,null,656811,1,6,Bot,150.45,153.75,,,553902,,190928_021428,11.8271,-136.7569,-5.8505,-15.6828,30.964,-19.0788,3.07,1.36,8,91.9,-12,94.428,2143,6.611,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,53.8883,0.175,0.157,0,1,0,0,2,55,1,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard
CH,9/27/2019,83.8,-3.2892,5.1776,Jose Berrios,656811,621244,single,hit_into_play_no_out,,,,,11,Ryan O'Hearn singles on a line drive to left fielder Eddie Rosario.  ,R,L,R,KC,MIN,X,7,line_drive,0,0,2019,-1.2103,-0.0329,-1.172,2.3559,null,null,null,1,6,Bot,72.5,75.14,,,553902,,190928_021401,7.2449,-121.9196,-0.0803,-13.3852,22.4671,-32.6964,3.07,1.36,282,89.8,18.4,83.826,1698,6.176,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.3236,0.588,0.576,0.9,1,1,0,4,54,1,Changeup,2,6,2,6,6,2,2,6,Standard,Strategic
CU,9/27/2019,82.1,-3.3186,5.3024,Jose Berrios,643436,621244,strikeout,swinging_strike,,,,,7,Ryan McBroom strikes out swinging.  ,R,R,R,KC,MIN,S,2,null,0,2,2019,1.2776,-0.1938,-0.7711,2.1132,null,null,null,0,6,Bot,null,null,,,553902,,190928_021318,3.3176,-119.3088,-0.2529,11.0559,24.6825,-34.1864,3.44,1.62,null,null,null,80.447,2244,5.4,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,55.0996,null,null,0,1,0,0,null,53,3,Curveball,2,6,2,6,6,2,2,6,Standard,Standard
FT,9/27/2019,93,-3.0528,5.4096,Jose Berrios,643436,621244,null,foul,,,,,13,null,R,R,R,KC,MIN,S,null,null,0,1,2019,-1.4767,0.4712,-0.2338,1.4549,null,null,null,0,6,Bot,null,null,,,553902,,190928_021258,10.4674,-135.0166,-5.4043,-20.3162,27.4502,-25.4697,3.44,1.62,null,null,null,93.25,2005,6.416,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.0831,null,null,null,null,null,null,null,53,2,2-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard
FF,9/27/2019,93.8,-3.1029,5.4584,Jose Berrios,643436,621244,null,called_strike,,,,,4,null,R,R,R,KC,MIN,S,null,null,0,0,2019,-0.9295,0.9843,-0.7963,2.6436,null,null,null,0,6,Bot,null,null,,,553902,,190928_021247,7.9686,-136.3264,-3.7057,-13.2154,28.5812,-19.3862,3.2466,1.5852,null,null,null,93.617,2057,6.145,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.3544,null,null,null,null,null,null,null,53,1,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard
CH,9/27/2019,83.1,-3.1902,5.0614,Jose Berrios,460086,621244,strikeout,swinging_strike_blocked,,,,,13,Alex Gordon strikes out swinging.  ,R,L,R,KC,MIN,S,2,null,2,2,2019,-1.0545,0.1116,-0.6797,1.0804,null,null,null,2,5,Bot,null,null,,,553902,,190928_015642,7.7639,-120.7932,-2.879,-11.7151,22.3084,-30.7685,3.35,1.6,null,null,null,82.945,1658,6.129,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.3701,null,null,0,1,0,0,null,47,6,Changeup,2,6,2,6,6,2,2,6,Strategic,Strategic
FF,9/27/2019,95.7,-3.1666,5.3568,Jose Berrios,460086,621244,null,foul,,,,,1,null,R,L,R,KC,MIN,S,null,null,2,2,2019,-0.9639,0.9476,-0.7684,3.45,null,null,null,2,5,Bot,null,null,,,553902,,190928_015617,8.4977,-139.2842,-1.6022,-14.3381,28.2049,-19.6407,3.35,1.6,182,77.3,22.6,96.138,2188,6.311,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.1887,null,null,null,null,null,null,null,47,5,4-Seam Fastball,2,6,2,6,6,2,2,6,Strategic,Standard
CU,9/27/2019,84,-3.2917,5.181,Jose Berrios,460086,621244,null,ball,,,,,13,null,R,L,R,KC,MIN,B,null,null,1,2,2019,1.2755,-0.0608,-0.4499,1.0929,null,null,null,2,5,Bot,null,null,,,553902,,190928_015559,4.078,-122.3851,-3.0191,11.9867,21.551,-32.4614,3.3467,1.6174,null,null,null,83.838,2315,5.873,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.6262,null,null,null,null,null,null,null,47,4,Curveball,2,6,2,6,6,2,2,6,Strategic,Standard
CH,9/27/2019,83,-3.2399,5.1284,Jose Berrios,460086,621244,null,foul,,,,,7,null,R,L,R,KC,MIN,S,null,null,1,1,2019,-1.4488,0.0585,-0.4951,1.5556,null,null,null,2,5,Bot,null,null,,,553902,,190928_015541,9.095,-120.5481,-1.8446,-15.8132,21.3078,-31.4705,3.35,1.6,null,null,null,83.203,1755,6.326,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.1736,null,null,null,null,null,null,null,47,3,Changeup,2,6,2,6,6,2,2,6,Standard,Standard
CH,9/27/2019,82.6,-3.1655,5.1332,Jose Berrios,460086,621244,null,ball,,,,,13,null,R,L,R,KC,MIN,B,null,null,0,1,2019,-1.2923,-0.1197,-1.5702,1.2909,null,null,null,2,5,Bot,null,null,,,553902,,190928_015526,6.1376,-120.2728,-2.107,-13.6627,20.106,-33.1801,3.3467,1.5852,null,null,null,83.1,1736,6.279,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.2204,null,null,null,null,null,null,null,47,2,Changeup,2,6,2,6,6,2,2,6,Standard,Standard
FF,9/27/2019,95.6,-3.2427,5.4006,Jose Berrios,460086,621244,null,called_strike,,,,,11,null,R,L,R,KC,MIN,S,null,null,0,0,2019,-0.9911,0.9898,-0.8389,3.1265,null,null,null,2,5,Bot,null,null,,,553902,,190928_015515,8.5662,-139.0519,-2.6534,-14.6635,27.7136,-18.8981,3.3467,1.6818,null,null,null,96.077,2065,6.34,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.1598,null,null,null,null,null,null,null,47,1,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard
CU,9/27/2019,82.2,-3.2868,5.2473,Jose Berrios,641531,621244,field_out,hit_into_play,,,,,14,"Hunter Dozier grounds out, shortstop Ronald Torreyes to first baseman C.  J. Cron.  ",R,R,R,KC,MIN,X,6,ground_ball,1,2,2019,1.3471,-0.1076,0.9228,1.7203,null,null,null,1,5,Bot,107.78,157.81,,,553902,,190928_015447,6.8971,-119.3647,-1.1869,11.1294,24.0565,-33.1977,3.42,1.65,6,71.2,-18.1,80.921,2263,5.64,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.86,0.055,0.046,0,1,0,0,2,46,5,Curveball,2,6,2,6,6,2,2,6,Standard,Standard
FF,9/27/2019,95.3,-3.1032,5.4595,Jose Berrios,641531,621244,null,foul,,,,,3,null,R,R,R,KC,MIN,S,null,null,1,2,2019,-0.8028,1.2552,0.4,2.9323,null,null,null,1,5,Bot,null,null,,,553902,,190928_015433,11.047,-138.435,-3.8519,-12.7699,29.4332,-15.2566,3.42,1.65,345,93.9,36,95.738,2280,6.531,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,53.9688,null,null,null,null,null,null,null,46,4,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard
CU,9/27/2019,75.7,-3.4114,5.0641,Jose Berrios,641531,621244,null,ball,,,,,14,null,R,R,R,KC,MIN,B,null,null,0,2,2019,1.5158,0.0169,2.2855,0.7488,null,null,null,1,5,Bot,null,null,,,553902,,190928_015411,9.1316,-109.8125,-1.81,10.2181,21.3904,-31.9475,3.4071,1.6174,null,null,null,74.68,2222,5.937,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.563,null,null,null,null,null,null,null,46,3,Curveball,2,6,2,6,6,2,2,6,Standard,Standard
CU,9/27/2019,80.7,-3.3342,5.2443,Jose Berrios,641531,621244,null,swinging_strike,,,,,14,null,R,R,R,KC,MIN,S,null,null,0,1,2019,1.4827,-0.0055,1.366,1.8767,null,null,null,1,5,Bot,null,null,,,553902,,190928_015354,7.6092,-117.2413,-0.732,11.7502,24.4888,-32.3351,3.42,1.65,null,null,null,79.616,2302,5.866,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.6337,null,null,null,null,null,null,null,46,2,Curveball,2,6,2,6,6,2,2,6,Standard,Standard
CU,9/27/2019,82,-3.3879,5.3129,Jose Berrios,641531,621244,null,called_strike,,,,,8,null,R,R,R,KC,MIN,S,null,null,0,0,2019,1.3506,-0.1051,-0.0148,1.8681,null,null,null,1,5,Bot,null,null,,,553902,,190928_015341,5.0166,-119.2261,-0.9972,11.4351,23.8189,-33.2155,3.2466,1.5529,null,null,null,80.538,2237,5.42,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,55.0793,null,null,null,null,null,null,null,46,1,Curveball,2,6,2,6,6,2,2,6,Standard,Standard
CU,9/27/2019,82.1,-3.2876,5.2742,Jose Berrios,624585,621244,sac_fly,hit_into_play_score,,,,,6,Jorge Soler out on a sacrifice fly to right fielder Jake Cave.   Whit Merrifield scores.  ,R,R,R,KC,MIN,X,9,fly_ball,1,0,2019,1.0468,0.0607,0.3983,2.4362,593160,null,null,0,5,Bot,174.97,85.02,,,553902,,190928_015316,6.3006,-119.5153,-0.0875,8.8314,20.0298,-31.8032,3.42,1.65,295,89.8,44.8,81.638,2270,5.665,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.8348,0.005,0,0,1,0,0,3,45,2,Curveball,1,6,1,6,6,1,1,6,Infield shift,Standard
CU,9/27/2019,83.5,-3.2458,5.3195,Jose Berrios,624585,621244,null,ball,,,,,14,null,R,R,R,KC,MIN,B,null,null,0,0,2019,0.9114,-0.2091,0.2026,1.1954,593160,null,null,0,5,Bot,null,null,,,553902,,190928_015248,6.1229,-121.4612,-2.6981,7.8376,21.1981,-33.965,3.6067,1.7784,null,null,null,83.036,2271,5.758,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.7413,null,null,null,null,null,null,null,45,1,Curveball,1,6,1,6,6,1,1,6,Infield shift,Standard
